function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
_init,00011104,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,2,1,7,1.4104316052097594,0.08,14,0,0.28,0.08,0.16,0.0,0.0,0.0,0,0,24,2,2,7,0.16,3.610577243331643,2.095646899398185,0.14285714285714285,6,unknown,0,0,0,0.0,unknown,1,unknown
_FINI_0,00011120,mips,gcc,O2,1,1,0,0,7,11,6,0,0,0.0,4.142857142857143,2,9,29,1.542944780052965,0.056339157736673265,72,4,0.23275862068965517,0.05172413793103448,0.1724137931034483,0.0,0.0,0.008620689655172414,0,0,32,7,9,27,0.1724137931034483,4.953585603570807,2.0268644194180614,0.20689655172413793,23,unknown,3,8,0,0.0,unknown,1,unknown
_INIT_0,00011194,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,4.333333333333333,2,4,13,1.5449697676245602,0.1699346405228758,24,0,0.25,0.1,0.125,0.0,0.0,0.025,0,0,16,5,7,10,0.125,4.483435631311394,2.1247388086555605,0.15384615384615385,12,unknown,1,2,0,0.0,unknown,1,unknown
FUN_000111d0,000111d0,mips,gcc,O2,1,1,0,0,1,2,3,0,0,0.0,22.0,1,3,22,1.5818846849872483,0.16,52,1,0.21333333333333335,0.14666666666666667,0.14666666666666667,0.0,0.0,0.013333333333333334,0,0,32,12,14,16,0.14666666666666667,4.703710102000731,2.258635536487863,0.13636363636363635,16,unknown,0,2,0,0.0,unknown,1,unknown
FUN_00011228,00011228,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,13.0,2,4,39,1.477857779785861,0.07936507936507936,82,0,0.25396825396825395,0.07936507936507936,0.1746031746031746,0.0,0.0,0.007936507936507936,0,0,48,11,13,32,0.1746031746031746,5.039881600770117,2.135252225714182,0.05128205128205128,22,unknown,1,2,0,0.0,unknown,1,unknown
FUN_000112c4,000112c4,mips,gcc,O2,1,1,0,0,4,8,6,1,1,0.125,10.25,1,8,41,1.3834758512014487,0.07571640316205533,110,4,0.23376623376623376,0.07792207792207792,0.17532467532467533,0.0,0.0,0.006493506493506494,0,0,32,13,15,36,0.17532467532467533,4.973296599830603,2.2081791747656405,0.14634146341463414,27,unknown,1,7,1,0.25,unknown,1,unknown
FUN_000113b4,000113b4,mips,gcc,O2,1,1,0,0,3,4,3,0,0,0.0,5.0,1,5,15,1.3953183347384854,0.12910052910052908,34,1,0.2127659574468085,0.10638297872340426,0.10638297872340426,0.0,0.0,0.02127659574468085,0,0,16,6,8,10,0.10638297872340426,4.722335632047449,1.9604329757695829,0.2,14,unknown,1,3,0,0.25,unknown,1,unknown
FUN_000113f0,000113f0,mips,gcc,O2,1,1,0,0,9,13,6,0,0,0.0,4.333333333333333,2,11,39,1.1705194927299474,0.12268009768009769,88,4,0.1984126984126984,0.10317460317460317,0.14285714285714285,0.0,0.0,0.007936507936507936,0,0,32,14,16,25,0.14285714285714285,4.626714637249795,2.320089287826513,0.15384615384615385,31,unknown,5,8,0,0.15384615384615385,unknown,1,unknown
FUN_0001148c,0001148c,mips,gcc,O2,1,1,0,0,9,17,10,3,3,0.17647058823529413,8.222222222222221,2,15,74,1.532745398913467,0.08309524390442265,140,8,0.2490118577075099,0.05928853754940711,0.18181818181818182,0.0,0.0,0.003952569169960474,0,0,32,16,18,63,0.18181818181818182,5.376565752152174,2.1948645113386145,0.13513513513513514,41,unknown,3,14,3,0.35294117647058826,unknown,1,unknown
FUN_000117e8,000117e8,mips,gcc,O2,1,1,0,0,1,1,2,0,0,0.0,10.0,1,2,10,1.5127296358240485,0.16,20,0,0.28,0.12,0.12,0.0,0.0,0.04,0,0,16,4,6,7,0.12,4.371928094887362,2.175646899398185,0.2,9,unknown,0,1,0,0.0,unknown,1,unknown
